cell,cell_type
Cell1,group3
Cell2,group2
Cell3,group2
Cell4,group2
Cell5,group2
Cell6,group2
Cell7,group3
Cell8,group2
Cell9,group2
Cell10,group3
Cell11,group2
Cell12,group3
Cell13,group2
Cell14,group4
Cell15,group3
Cell16,group2
Cell17,group2
Cell18,group2
Cell19,group2
Cell20,group2
Cell21,group2
Cell22,group2
Cell23,group2
Cell24,group2
Cell25,group2
Cell26,group2
Cell27,group2
Cell28,group2
Cell29,group4
Cell30,group2
Cell31,group3
Cell32,group2
Cell33,group3
Cell34,group2
Cell35,group2
Cell36,group2
Cell37,group2
Cell38,group2
Cell39,group2
Cell40,group2
Cell41,group3
Cell42,group3
Cell43,group3
Cell44,group2
Cell45,group2
Cell46,group2
Cell47,group3
Cell48,group3
Cell49,group3
Cell50,group3
Cell51,group3
Cell52,group2
Cell53,group3
Cell54,group2
Cell55,group2
Cell56,group2
Cell57,group3
Cell58,group3
Cell59,group2
Cell60,group2
Cell61,group3
Cell62,group2
Cell63,group3
Cell64,group2
Cell65,group2
Cell66,group3
Cell67,group2
Cell68,group2
Cell69,group2
Cell70,group3
Cell71,group2
Cell72,group2
Cell73,group2
Cell74,group2
Cell75,group2
Cell76,group3
Cell77,group2
Cell78,group2
Cell79,group2
Cell80,group2
Cell81,group2
Cell82,group2
Cell83,group2
Cell84,group2
Cell85,group3
Cell86,group3
Cell87,group3
Cell88,group2
Cell89,group3
Cell90,group2
Cell91,group3
Cell92,group2
Cell93,group2
Cell94,group2
Cell95,group3
Cell96,group2
Cell97,group2
Cell98,group2
Cell99,group3
Cell100,group3
Cell101,group2
Cell102,group2
Cell103,group2
Cell104,group3
Cell105,group2
Cell106,group2
Cell107,group2
Cell108,group2
Cell109,group3
Cell110,group2
Cell111,group2
Cell112,group2
Cell113,group3
Cell114,group4
Cell115,group2
Cell116,group3
Cell117,group2
Cell118,group2
Cell119,group2
Cell120,group2
Cell121,group2
Cell122,group2
Cell123,group2
Cell124,group2
Cell125,group3
Cell126,group2
Cell127,group2
Cell128,group2
Cell129,group2
Cell130,group3
Cell131,group2
Cell132,group2
Cell133,group2
Cell134,group2
Cell135,group2
Cell136,group2
Cell137,group2
Cell138,group3
Cell139,group2
Cell140,group2
Cell141,group4
Cell142,group2
Cell143,group2
Cell144,group2
Cell145,group3
Cell146,group2
Cell147,group3
Cell148,group2
Cell149,group3
Cell150,group2
Cell151,group2
Cell152,group4
Cell153,group2
Cell154,group2
Cell155,group2
Cell156,group2
Cell157,group3
Cell158,group3
Cell159,group2
Cell160,group2
Cell161,group3
Cell162,group2
Cell163,group2
Cell164,group3
Cell165,group2
Cell166,group3
Cell167,group2
Cell168,group2
Cell169,group2
Cell170,group3
Cell171,group2
Cell172,group3
Cell173,group2
Cell174,group2
Cell175,group2
Cell176,group3
Cell177,group2
Cell178,group2
Cell179,group2
Cell180,group2
Cell181,group3
Cell182,group3
Cell183,group2
Cell184,group2
Cell185,group2
Cell186,group2
Cell187,group2
Cell188,group2
Cell189,group3
Cell190,group4
Cell191,group2
Cell192,group3
Cell193,group2
Cell194,group2
Cell195,group2
Cell196,group3
Cell197,group2
Cell198,group3
Cell199,group2
Cell200,group2
Cell201,group2
Cell202,group3
Cell203,group2
Cell204,group2
Cell205,group2
Cell206,group2
Cell207,group2
Cell208,group3
Cell209,group3
Cell210,group2
Cell211,group2
Cell212,group3
Cell213,group3
Cell214,group2
