cell,cell_type
Cell1,group7
Cell2,group3
Cell3,group7
Cell4,group7
Cell5,group7
Cell6,group7
Cell7,group7
Cell8,group7
Cell9,group7
Cell10,group7
Cell11,group7
Cell12,group7
Cell13,group7
Cell14,group7
Cell15,group7
Cell16,group7
Cell17,group3
Cell18,group7
Cell19,group7
Cell20,group3
Cell21,group7
Cell22,group7
Cell23,group7
Cell24,group3
Cell25,group3
Cell26,group7
Cell27,group7
Cell28,group7
Cell29,group7
Cell30,group7
Cell31,group7
Cell32,group3
Cell33,group7
Cell34,group3
Cell35,group7
Cell36,group3
Cell37,group7
Cell38,group7
Cell39,group7
Cell40,group7
Cell41,group7
Cell42,group7
Cell43,group7
Cell44,group3
Cell45,group7
Cell46,group7
Cell47,group5
Cell48,group7
Cell49,group7
Cell50,group7
Cell51,group7
Cell52,group7
Cell53,group7
Cell54,group7
Cell55,group7
Cell56,group7
Cell57,group7
Cell58,group7
Cell59,group3
Cell60,group7
Cell61,group7
Cell62,group3
Cell63,group7
Cell64,group3
Cell65,group7
Cell66,group7
Cell67,group7
Cell68,group7
Cell69,group7
Cell70,group7
Cell71,group3
Cell72,group3
Cell73,group7
Cell74,group7
Cell75,group7
Cell76,group7
Cell77,group7
Cell78,group7
Cell79,group7
Cell80,group7
Cell81,group7
Cell82,group7
Cell83,group7
Cell84,group3
Cell85,group7
Cell86,group7
Cell87,group7
Cell88,group7
Cell89,group7
Cell90,group7
Cell91,group7
Cell92,group7
Cell93,group7
Cell94,group7
Cell95,group7
Cell96,group7
Cell97,group7
Cell98,group7
Cell99,group7
Cell100,group7
Cell101,group7
Cell102,group7
Cell103,group3
Cell104,group7
Cell105,group7
Cell106,group7
Cell107,group7
Cell108,group3
Cell109,group5
Cell110,group3
Cell111,group7
Cell112,group7
Cell113,group7
Cell114,group7
Cell115,group7
Cell116,group7
Cell117,group7
Cell118,group7
Cell119,group7
Cell120,group7
Cell121,group7
Cell122,group7
Cell123,group7
Cell124,group7
Cell125,group7
Cell126,group7
Cell127,group7
Cell128,group3
Cell129,group7
Cell130,group7
Cell131,group7
Cell132,group7
Cell133,group7
Cell134,group7
Cell135,group3
Cell136,group3
Cell137,group7
Cell138,group7
Cell139,group7
Cell140,group7
Cell141,group7
Cell142,group7
Cell143,group3
Cell144,group7
