cell,cell_type
Cell1,group7
Cell2,group7
Cell3,group7
Cell4,group7
Cell5,group7
Cell6,group7
Cell7,group7
Cell8,group7
Cell9,group7
Cell10,group7
Cell11,group7
Cell12,group7
Cell13,group7
Cell14,group7
Cell15,group7
Cell16,group7
Cell17,group7
Cell18,group7
Cell19,group7
Cell20,group7
Cell21,group7
Cell22,group7
Cell23,group7
Cell24,group7
Cell25,group7
Cell26,group7
Cell27,group7
Cell28,group7
Cell29,group7
Cell30,group7
Cell31,group7
Cell32,group7
Cell33,group7
Cell34,group7
Cell35,group7
Cell36,group7
Cell37,group7
Cell38,group7
Cell39,group7
Cell40,group7
Cell41,group7
Cell42,group7
Cell43,group7
Cell44,group7
Cell45,group7
Cell46,group7
Cell47,group7
Cell48,group7
Cell49,group7
Cell50,group7
Cell51,group7
Cell52,group7
Cell53,group7
Cell54,group7
Cell55,group7
Cell56,group7
Cell57,group7
Cell58,group7
Cell59,group7
Cell60,group7
Cell61,group7
Cell62,group7
Cell63,group7
Cell64,group7
Cell65,group7
Cell66,group7
Cell67,group7
Cell68,group7
Cell69,group7
Cell70,group7
Cell71,group7
Cell72,group7
Cell73,group7
Cell74,group7
Cell75,group7
Cell76,group7
Cell77,group7
Cell78,group7
Cell79,group7
Cell80,group7
Cell81,group7
Cell82,group7
Cell83,group7
Cell84,group7
Cell85,group7
Cell86,group7
Cell87,group7
Cell88,group7
Cell89,group7
Cell90,group7
Cell91,group7
Cell92,group7
Cell93,group7
Cell94,group7
Cell95,group7
Cell96,group7
Cell97,group7
Cell98,group7
Cell99,group7
Cell100,group7
Cell101,group7
Cell102,group7
Cell103,group7
Cell104,group7
Cell105,group7
Cell106,group7
Cell107,group7
Cell108,group7
Cell109,group7
Cell110,group7
Cell111,group7
Cell112,group7
Cell113,group7
Cell114,group7
Cell115,group7
Cell116,group7
Cell117,group7
Cell118,group7
Cell119,group7
Cell120,group7
Cell121,group7
Cell122,group7
Cell123,group7
Cell124,group7
Cell125,group7
Cell126,group7
Cell127,group7
Cell128,group7
Cell129,group7
Cell130,group7
Cell131,group7
Cell132,group7
Cell133,group7
Cell134,group7
Cell135,group7
Cell136,group7
Cell137,group7
Cell138,group7
Cell139,group7
Cell140,group7
Cell141,group7
Cell142,group7
Cell143,group7
Cell144,group7
Cell145,group7
Cell146,group7
Cell147,group7
Cell148,group7
Cell149,group7
Cell150,group7
Cell151,group7
Cell152,group7
Cell153,group7
Cell154,group7
Cell155,group7
Cell156,group7
Cell157,group7
Cell158,group7
Cell159,group7
Cell160,group7
Cell161,group7
Cell162,group7
Cell163,group7
Cell164,group7
Cell165,group7
Cell166,group7
Cell167,group7
Cell168,group7
Cell169,group7
Cell170,group7
Cell171,group7
Cell172,group7
Cell173,group7
Cell174,group7
Cell175,group7
Cell176,group7
Cell177,group7
Cell178,group7
Cell179,group7
Cell180,group7
Cell181,group7
Cell182,group7
Cell183,group7
Cell184,group7
Cell185,group7
Cell186,group7
Cell187,group7
Cell188,group7
Cell189,group7
Cell190,group7
Cell191,group7
Cell192,group7
Cell193,group7
Cell194,group7
Cell195,group7
Cell196,group7
Cell197,group7
Cell198,group7
Cell199,group7
Cell200,group7
Cell201,group7
Cell202,group7
Cell203,group7
Cell204,group7
Cell205,group7
Cell206,group7
Cell207,group7
Cell208,group7
Cell209,group7
Cell210,group7
Cell211,group7
Cell212,group7
Cell213,group7
Cell214,group7
Cell215,group7
Cell216,group7
Cell217,group7
Cell218,group7
Cell219,group7
Cell220,group7
Cell221,group7
Cell222,group7
Cell223,group7
Cell224,group7
Cell225,group7
Cell226,group7
Cell227,group7
Cell228,group7
Cell229,group7
Cell230,group7
Cell231,group7
Cell232,group7
Cell233,group7
Cell234,group7
Cell235,group7
Cell236,group7
Cell237,group7
Cell238,group7
Cell239,group7
Cell240,group7
Cell241,group7
Cell242,group7
Cell243,group7
Cell244,group7
Cell245,group7
Cell246,group7
Cell247,group7
Cell248,group7
Cell249,group7
Cell250,group7
Cell251,group7
Cell252,group7
Cell253,group7
Cell254,group7
Cell255,group7
Cell256,group7
Cell257,group7
Cell258,group7
Cell259,group7
Cell260,group7
Cell261,group7
Cell262,group7
Cell263,group7
Cell264,group7
Cell265,group7
Cell266,group7
Cell267,group7
Cell268,group7
Cell269,group7
Cell270,group7
Cell271,group7
Cell272,group7
Cell273,group7
Cell274,group7
Cell275,group7
Cell276,group7
Cell277,group7
Cell278,group7
Cell279,group7
Cell280,group7
Cell281,group7
Cell282,group7
Cell283,group7
Cell284,group7
Cell285,group7
Cell286,group7
Cell287,group7
Cell288,group7
Cell289,group7
Cell290,group7
Cell291,group7
Cell292,group7
Cell293,group7
Cell294,group7
Cell295,group7
Cell296,group7
Cell297,group7
Cell298,group7
Cell299,group7
Cell300,group7
Cell301,group7
Cell302,group7
Cell303,group7
Cell304,group7
Cell305,group7
Cell306,group7
Cell307,group7
Cell308,group7
Cell309,group7
Cell310,group7
Cell311,group7
Cell312,group7
Cell313,group7
Cell314,group7
Cell315,group7
Cell316,group7
Cell317,group7
Cell318,group7
Cell319,group7
Cell320,group7
Cell321,group7
Cell322,group7
Cell323,group7
Cell324,group7
Cell325,group7
Cell326,group7
Cell327,group7
Cell328,group7
Cell329,group7
Cell330,group7
Cell331,group7
Cell332,group7
Cell333,group7
Cell334,group7
Cell335,group7
Cell336,group7
Cell337,group7
Cell338,group7
Cell339,group7
Cell340,group7
Cell341,group7
Cell342,group7
Cell343,group7
Cell344,group7
Cell345,group7
Cell346,group7
Cell347,group7
Cell348,group7
Cell349,group7
Cell350,group7
Cell351,group7
Cell352,group7
Cell353,group7
Cell354,group7
Cell355,group7
Cell356,group7
Cell357,group7
Cell358,group7
Cell359,group7
Cell360,group7
Cell361,group7
Cell362,group7
Cell363,group7
Cell364,group7
Cell365,group7
Cell366,group7
Cell367,group7
Cell368,group7
Cell369,group7
Cell370,group7
Cell371,group7
Cell372,group7
Cell373,group7
Cell374,group7
Cell375,group7
Cell376,group7
Cell377,group7
Cell378,group7
Cell379,group7
Cell380,group7
Cell381,group7
Cell382,group7
Cell383,group7
Cell384,group7
Cell385,group7
Cell386,group7
Cell387,group7
Cell388,group7
Cell389,group7
Cell390,group7
Cell391,group7
Cell392,group7
Cell393,group7
Cell394,group7
Cell395,group7
Cell396,group7
Cell397,group7
Cell398,group7
Cell399,group7
Cell400,group7
Cell401,group7
Cell402,group7
Cell403,group7
Cell404,group7
Cell405,group7
Cell406,group7
Cell407,group7
Cell408,group7
Cell409,group7
Cell410,group7
Cell411,group7
Cell412,group7
Cell413,group7
Cell414,group7
Cell415,group7
Cell416,group7
Cell417,group7
Cell418,group7
Cell419,group7
Cell420,group7
Cell421,group7
Cell422,group7
Cell423,group7
Cell424,group7
Cell425,group7
Cell426,group7
Cell427,group7
Cell428,group7
Cell429,group7
Cell430,group7
Cell431,group7
Cell432,group7
Cell433,group7
Cell434,group7
Cell435,group7
Cell436,group7
Cell437,group7
Cell438,group7
Cell439,group7
Cell440,group7
Cell441,group7
Cell442,group7
Cell443,group7
Cell444,group7
Cell445,group7
Cell446,group7
Cell447,group7
Cell448,group7
Cell449,group7
Cell450,group7
Cell451,group7
Cell452,group7
Cell453,group7
Cell454,group7
Cell455,group7
Cell456,group7
Cell457,group7
Cell458,group7
Cell459,group7
Cell460,group7
Cell461,group7
Cell462,group7
Cell463,group7
Cell464,group7
Cell465,group7
Cell466,group7
Cell467,group7
Cell468,group7
Cell469,group7
Cell470,group7
Cell471,group7
Cell472,group7
Cell473,group7
Cell474,group7
Cell475,group7
Cell476,group7
Cell477,group7
Cell478,group7
Cell479,group7
Cell480,group7
Cell481,group7
Cell482,group7
Cell483,group7
Cell484,group7
Cell485,group7
Cell486,group7
Cell487,group7
Cell488,group7
Cell489,group7
Cell490,group7
Cell491,group7
Cell492,group7
Cell493,group7
Cell494,group7
Cell495,group7
Cell496,group7
Cell497,group7
Cell498,group7
Cell499,group7
Cell500,group7
Cell501,group7
Cell502,group7
Cell503,group7
Cell504,group7
Cell505,group7
Cell506,group7
Cell507,group7
Cell508,group7
Cell509,group7
Cell510,group7
Cell511,group7
Cell512,group7
Cell513,group7
Cell514,group7
Cell515,group7
Cell516,group7
Cell517,group7
Cell518,group7
Cell519,group7
Cell520,group7
Cell521,group7
Cell522,group7
Cell523,group7
Cell524,group7
Cell525,group7
Cell526,group7
Cell527,group7
Cell528,group7
Cell529,group7
Cell530,group7
Cell531,group7
Cell532,group7
Cell533,group7
Cell534,group7
Cell535,group7
Cell536,group7
Cell537,group7
Cell538,group7
Cell539,group7
Cell540,group7
Cell541,group7
Cell542,group7
Cell543,group7
Cell544,group7
Cell545,group7
Cell546,group7
Cell547,group7
Cell548,group7
Cell549,group7
Cell550,group7
Cell551,group7
Cell552,group7
Cell553,group7
Cell554,group7
Cell555,group7
Cell556,group7
Cell557,group7
Cell558,group7
Cell559,group7
Cell560,group7
Cell561,group7
Cell562,group7
Cell563,group7
Cell564,group7
Cell565,group7
Cell566,group7
Cell567,group7
Cell568,group7
Cell569,group7
Cell570,group7
Cell571,group7
Cell572,group7
Cell573,group7
Cell574,group7
Cell575,group7
Cell576,group7
Cell577,group7
Cell578,group7
Cell579,group7
Cell580,group7
Cell581,group7
Cell582,group7
Cell583,group7
Cell584,group7
Cell585,group7
Cell586,group7
Cell587,group7
Cell588,group7
Cell589,group7
Cell590,group7
Cell591,group7
Cell592,group7
Cell593,group7
