cell,cell_type
Cell1,group2
Cell2,group2
Cell3,group1
Cell4,group1
Cell5,group1
Cell6,group1
Cell7,group2
Cell8,group1
Cell9,group1
Cell10,group2
Cell11,group1
Cell12,group2
Cell13,group1
Cell14,group1
Cell15,group2
Cell16,group1
Cell17,group2
Cell18,group2
Cell19,group1
Cell20,group2
Cell21,group2
Cell22,group1
Cell23,group1
Cell24,group2
Cell25,group2
Cell26,group1
Cell27,group2
Cell28,group1
Cell29,group1
Cell30,group2
Cell31,group2
Cell32,group2
Cell33,group2
Cell34,group2
Cell35,group1
Cell36,group2
Cell37,group1
Cell38,group1
Cell39,group1
Cell40,group1
Cell41,group2
Cell42,group2
Cell43,group2
Cell44,group2
Cell45,group2
Cell46,group2
Cell47,group2
Cell48,group2
Cell49,group2
Cell50,group2
Cell51,group2
Cell52,group1
Cell53,group2
Cell54,group1
Cell55,group1
Cell56,group1
Cell57,group2
Cell58,group2
Cell59,group2
Cell60,group2
Cell61,group2
Cell62,group2
Cell63,group2
Cell64,group2
Cell65,group1
Cell66,group2
Cell67,group1
Cell68,group1
Cell69,group1
Cell70,group2
Cell71,group2
Cell72,group2
Cell73,group2
Cell74,group1
Cell75,group1
Cell76,group2
Cell77,group1
Cell78,group1
Cell79,group2
Cell80,group1
Cell81,group1
Cell82,group2
Cell83,group1
Cell84,group2
Cell85,group2
Cell86,group2
Cell87,group2
Cell88,group1
Cell89,group2
Cell90,group1
Cell91,group2
Cell92,group1
Cell93,group1
Cell94,group2
Cell95,group2
Cell96,group1
Cell97,group1
Cell98,group2
Cell99,group2
Cell100,group2
Cell101,group1
Cell102,group1
Cell103,group2
Cell104,group2
Cell105,group1
Cell106,group2
Cell107,group1
Cell108,group2
Cell109,group2
Cell110,group2
Cell111,group1
Cell112,group2
Cell113,group2
Cell114,group1
Cell115,group1
Cell116,group2
Cell117,group1
Cell118,group1
Cell119,group1
Cell120,group1
Cell121,group1
Cell122,group1
Cell123,group1
Cell124,group1
Cell125,group2
Cell126,group1
Cell127,group1
Cell128,group2
Cell129,group1
Cell130,group2
Cell131,group2
Cell132,group1
Cell133,group2
Cell134,group1
Cell135,group2
Cell136,group2
Cell137,group1
Cell138,group2
Cell139,group2
Cell140,group1
Cell141,group1
Cell142,group1
Cell143,group2
Cell144,group2
Cell145,group2
Cell146,group1
Cell147,group2
Cell148,group1
Cell149,group2
Cell150,group1
Cell151,group2
Cell152,group1
Cell153,group2
Cell154,group2
Cell155,group1
Cell156,group1
Cell157,group2
Cell158,group2
Cell159,group1
Cell160,group1
Cell161,group2
Cell162,group2
Cell163,group1
Cell164,group2
Cell165,group2
Cell166,group2
Cell167,group2
Cell168,group1
Cell169,group1
Cell170,group2
Cell171,group1
Cell172,group2
Cell173,group2
Cell174,group1
Cell175,group1
Cell176,group2
Cell177,group1
Cell178,group2
Cell179,group1
Cell180,group2
Cell181,group2
Cell182,group2
Cell183,group2
Cell184,group1
Cell185,group2
Cell186,group2
Cell187,group1
Cell188,group1
Cell189,group2
Cell190,group1
Cell191,group1
Cell192,group2
Cell193,group1
Cell194,group1
Cell195,group2
Cell196,group2
Cell197,group1
Cell198,group2
Cell199,group1
Cell200,group1
Cell201,group1
Cell202,group2
Cell203,group1
Cell204,group1
Cell205,group1
Cell206,group1
Cell207,group1
Cell208,group2
Cell209,group2
Cell210,group2
Cell211,group2
Cell212,group2
Cell213,group2
Cell214,group1
Cell215,group2
Cell216,group2
Cell217,group1
Cell218,group1
Cell219,group2
Cell220,group2
Cell221,group1
Cell222,group1
Cell223,group1
Cell224,group2
Cell225,group1
Cell226,group2
Cell227,group2
Cell228,group2
Cell229,group2
Cell230,group1
Cell231,group2
Cell232,group1
Cell233,group2
Cell234,group1
Cell235,group2
Cell236,group2
Cell237,group2
Cell238,group1
Cell239,group1
Cell240,group1
Cell241,group1
Cell242,group1
Cell243,group1
Cell244,group2
Cell245,group2
Cell246,group1
Cell247,group2
Cell248,group2
Cell249,group1
Cell250,group1
Cell251,group1
Cell252,group1
Cell253,group2
Cell254,group1
Cell255,group2
Cell256,group2
Cell257,group2
Cell258,group2
Cell259,group2
Cell260,group1
Cell261,group2
Cell262,group1
Cell263,group2
Cell264,group1
Cell265,group1
Cell266,group2
Cell267,group1
Cell268,group1
Cell269,group1
Cell270,group1
Cell271,group2
Cell272,group2
Cell273,group2
Cell274,group1
Cell275,group1
Cell276,group1
Cell277,group2
Cell278,group2
Cell279,group1
Cell280,group1
Cell281,group1
Cell282,group1
Cell283,group2
Cell284,group1
Cell285,group1
Cell286,group2
Cell287,group1
Cell288,group2
Cell289,group1
Cell290,group2
Cell291,group2
Cell292,group2
Cell293,group1
Cell294,group1
Cell295,group1
Cell296,group1
Cell297,group2
Cell298,group2
Cell299,group1
Cell300,group2
Cell301,group2
Cell302,group2
Cell303,group2
Cell304,group2
Cell305,group2
Cell306,group1
Cell307,group1
Cell308,group2
Cell309,group2
Cell310,group1
Cell311,group1
Cell312,group1
Cell313,group2
Cell314,group2
Cell315,group1
Cell316,group1
Cell317,group2
Cell318,group2
Cell319,group2
Cell320,group2
Cell321,group2
Cell322,group2
Cell323,group2
Cell324,group1
Cell325,group2
Cell326,group2
Cell327,group2
Cell328,group1
Cell329,group1
Cell330,group1
Cell331,group2
Cell332,group1
Cell333,group2
Cell334,group2
Cell335,group1
Cell336,group2
Cell337,group1
Cell338,group2
Cell339,group2
Cell340,group1
Cell341,group1
Cell342,group1
Cell343,group1
Cell344,group1
Cell345,group2
Cell346,group2
Cell347,group1
Cell348,group2
Cell349,group1
Cell350,group1
Cell351,group2
Cell352,group2
Cell353,group1
Cell354,group2
Cell355,group1
Cell356,group2
Cell357,group1
Cell358,group1
Cell359,group1
Cell360,group1
Cell361,group2
Cell362,group2
Cell363,group1
Cell364,group1
Cell365,group1
Cell366,group1
Cell367,group1
Cell368,group1
Cell369,group2
Cell370,group1
Cell371,group2
Cell372,group1
Cell373,group2
Cell374,group2
Cell375,group1
Cell376,group1
Cell377,group1
Cell378,group1
Cell379,group1
Cell380,group2
Cell381,group1
Cell382,group1
Cell383,group1
Cell384,group1
Cell385,group2
Cell386,group2
Cell387,group1
Cell388,group2
Cell389,group2
Cell390,group2
Cell391,group2
Cell392,group1
Cell393,group2
Cell394,group2
Cell395,group1
Cell396,group2
Cell397,group1
Cell398,group1
Cell399,group2
Cell400,group1
Cell401,group2
Cell402,group2
Cell403,group2
Cell404,group1
Cell405,group1
Cell406,group1
Cell407,group1
Cell408,group2
Cell409,group2
Cell410,group1
Cell411,group1
Cell412,group1
Cell413,group1
Cell414,group1
Cell415,group1
Cell416,group2
Cell417,group2
Cell418,group2
Cell419,group1
Cell420,group1
Cell421,group2
Cell422,group2
Cell423,group2
Cell424,group2
Cell425,group2
Cell426,group2
Cell427,group1
Cell428,group1
Cell429,group1
Cell430,group1
Cell431,group2
Cell432,group1
Cell433,group2
Cell434,group2
Cell435,group1
Cell436,group2
Cell437,group1
Cell438,group1
Cell439,group2
Cell440,group1
Cell441,group1
Cell442,group1
Cell443,group2
Cell444,group1
Cell445,group1
Cell446,group1
Cell447,group2
Cell448,group1
Cell449,group2
Cell450,group2
Cell451,group1
Cell452,group2
Cell453,group2
Cell454,group1
Cell455,group2
Cell456,group2
Cell457,group2
Cell458,group1
Cell459,group1
Cell460,group1
Cell461,group2
Cell462,group1
Cell463,group2
Cell464,group1
Cell465,group2
Cell466,group2
Cell467,group1
Cell468,group2
Cell469,group2
Cell470,group1
Cell471,group1
Cell472,group1
Cell473,group2
Cell474,group2
Cell475,group1
Cell476,group1
Cell477,group1
Cell478,group1
Cell479,group2
Cell480,group1
Cell481,group2
Cell482,group1
Cell483,group1
Cell484,group1
Cell485,group1
Cell486,group1
Cell487,group1
Cell488,group2
Cell489,group1
Cell490,group2
Cell491,group2
Cell492,group1
Cell493,group1
Cell494,group1
Cell495,group2
Cell496,group1
Cell497,group2
Cell498,group1
Cell499,group1
Cell500,group1
Cell501,group2
Cell502,group2
Cell503,group1
Cell504,group1
Cell505,group2
Cell506,group2
Cell507,group2
Cell508,group2
Cell509,group1
Cell510,group1
Cell511,group2
Cell512,group2
Cell513,group2
Cell514,group1
Cell515,group2
Cell516,group1
Cell517,group1
Cell518,group2
Cell519,group1
Cell520,group1
Cell521,group2
Cell522,group1
Cell523,group1
Cell524,group2
Cell525,group2
Cell526,group1
Cell527,group1
Cell528,group2
Cell529,group1
Cell530,group1
Cell531,group1
Cell532,group2
Cell533,group2
Cell534,group2
Cell535,group2
Cell536,group2
Cell537,group1
Cell538,group2
Cell539,group2
Cell540,group1
Cell541,group1
Cell542,group1
Cell543,group1
Cell544,group1
Cell545,group1
Cell546,group1
Cell547,group2
Cell548,group1
Cell549,group2
Cell550,group1
Cell551,group2
Cell552,group2
Cell553,group2
Cell554,group1
Cell555,group1
Cell556,group1
Cell557,group1
Cell558,group2
Cell559,group1
Cell560,group2
Cell561,group2
Cell562,group1
Cell563,group2
Cell564,group2
Cell565,group1
Cell566,group2
Cell567,group1
Cell568,group1
Cell569,group2
Cell570,group2
Cell571,group2
Cell572,group2
Cell573,group1
Cell574,group2
Cell575,group2
Cell576,group2
Cell577,group2
Cell578,group2
Cell579,group1
Cell580,group2
Cell581,group1
Cell582,group2
Cell583,group2
Cell584,group2
Cell585,group2
Cell586,group2
Cell587,group2
Cell588,group1
Cell589,group2
Cell590,group2
Cell591,group1
Cell592,group2
Cell593,group1
Cell594,group1
Cell595,group2
Cell596,group2
Cell597,group1
Cell598,group2
Cell599,group2
Cell600,group2
Cell601,group1
Cell602,group1
Cell603,group1
Cell604,group2
Cell605,group1
Cell606,group1
Cell607,group1
Cell608,group2
Cell609,group1
Cell610,group1
Cell611,group2
Cell612,group1
Cell613,group2
Cell614,group2
Cell615,group1
Cell616,group2
Cell617,group2
Cell618,group1
Cell619,group2
Cell620,group1
Cell621,group2
Cell622,group1
Cell623,group2
Cell624,group2
Cell625,group1
Cell626,group1
Cell627,group2
Cell628,group2
Cell629,group1
Cell630,group1
Cell631,group2
Cell632,group1
Cell633,group1
Cell634,group2
Cell635,group1
Cell636,group1
Cell637,group1
Cell638,group1
Cell639,group1
Cell640,group1
Cell641,group1
Cell642,group1
Cell643,group2
Cell644,group2
Cell645,group2
Cell646,group2
Cell647,group2
Cell648,group1
Cell649,group1
Cell650,group2
Cell651,group1
Cell652,group2
Cell653,group1
Cell654,group1
Cell655,group2
Cell656,group1
Cell657,group2
Cell658,group1
Cell659,group2
Cell660,group2
Cell661,group2
Cell662,group1
Cell663,group1
Cell664,group1
Cell665,group1
Cell666,group2
Cell667,group1
Cell668,group1
Cell669,group1
Cell670,group2
Cell671,group2
Cell672,group2
Cell673,group1
Cell674,group1
Cell675,group1
Cell676,group2
Cell677,group1
Cell678,group1
Cell679,group2
Cell680,group1
Cell681,group1
Cell682,group2
Cell683,group2
Cell684,group2
Cell685,group2
Cell686,group2
Cell687,group1
Cell688,group2
Cell689,group1
Cell690,group2
Cell691,group2
Cell692,group2
Cell693,group2
Cell694,group2
Cell695,group2
Cell696,group1
Cell697,group1
Cell698,group2
Cell699,group2
Cell700,group2
Cell701,group2
Cell702,group1
Cell703,group2
Cell704,group2
Cell705,group2
Cell706,group2
Cell707,group1
Cell708,group2
Cell709,group2
Cell710,group1
Cell711,group1
Cell712,group2
Cell713,group1
Cell714,group2
Cell715,group1
Cell716,group2
Cell717,group1
Cell718,group1
Cell719,group1
Cell720,group1
Cell721,group2
Cell722,group2
Cell723,group2
Cell724,group1
Cell725,group2
Cell726,group2
Cell727,group1
Cell728,group2
Cell729,group2
Cell730,group1
Cell731,group2
Cell732,group1
Cell733,group1
Cell734,group1
Cell735,group1
Cell736,group1
Cell737,group1
Cell738,group1
Cell739,group1
Cell740,group2
Cell741,group2
Cell742,group1
Cell743,group2
Cell744,group2
Cell745,group2
Cell746,group2
Cell747,group1
Cell748,group2
Cell749,group1
Cell750,group2
Cell751,group2
Cell752,group2
Cell753,group1
Cell754,group2
Cell755,group1
Cell756,group1
Cell757,group2
Cell758,group2
Cell759,group2
Cell760,group1
Cell761,group2
Cell762,group1
Cell763,group2
Cell764,group2
Cell765,group1
Cell766,group1
Cell767,group2
Cell768,group1
Cell769,group1
Cell770,group2
Cell771,group2
Cell772,group2
Cell773,group1
Cell774,group1
Cell775,group1
Cell776,group1
Cell777,group2
Cell778,group1
Cell779,group2
Cell780,group2
Cell781,group2
Cell782,group2
Cell783,group2
Cell784,group2
Cell785,group2
Cell786,group1
Cell787,group2
Cell788,group2
Cell789,group1
Cell790,group1
Cell791,group2
Cell792,group1
Cell793,group2
Cell794,group2
Cell795,group2
Cell796,group2
Cell797,group2
Cell798,group2
Cell799,group2
Cell800,group1
Cell801,group2
Cell802,group1
Cell803,group2
Cell804,group2
Cell805,group2
Cell806,group1
Cell807,group2
Cell808,group2
Cell809,group1
Cell810,group1
Cell811,group2
Cell812,group1
Cell813,group2
Cell814,group2
Cell815,group2
Cell816,group2
Cell817,group2
Cell818,group2
Cell819,group2
Cell820,group2
Cell821,group2
Cell822,group2
Cell823,group1
Cell824,group1
Cell825,group2
Cell826,group2
Cell827,group1
Cell828,group2
Cell829,group1
Cell830,group2
Cell831,group1
Cell832,group2
Cell833,group1
Cell834,group1
Cell835,group1
Cell836,group2
Cell837,group1
Cell838,group2
Cell839,group1
Cell840,group1
Cell841,group2
Cell842,group2
Cell843,group1
Cell844,group1
Cell845,group2
Cell846,group2
Cell847,group1
Cell848,group2
Cell849,group2
Cell850,group1
Cell851,group2
Cell852,group2
Cell853,group1
Cell854,group2
Cell855,group1
Cell856,group1
Cell857,group1
Cell858,group1
Cell859,group1
Cell860,group1
Cell861,group2
Cell862,group1
Cell863,group2
Cell864,group2
Cell865,group2
Cell866,group2
Cell867,group2
Cell868,group1
Cell869,group2
Cell870,group1
Cell871,group1
Cell872,group1
Cell873,group1
Cell874,group1
Cell875,group2
Cell876,group1
Cell877,group1
Cell878,group1
Cell879,group2
Cell880,group1
Cell881,group1
Cell882,group2
Cell883,group1
Cell884,group2
Cell885,group2
Cell886,group1
Cell887,group2
Cell888,group2
Cell889,group2
Cell890,group2
Cell891,group1
Cell892,group2
Cell893,group1
Cell894,group1
Cell895,group1
Cell896,group1
Cell897,group2
Cell898,group2
Cell899,group2
Cell900,group2
Cell901,group1
Cell902,group1
Cell903,group1
Cell904,group2
Cell905,group2
Cell906,group2
Cell907,group1
Cell908,group1
Cell909,group2
Cell910,group1
Cell911,group2
Cell912,group1
Cell913,group2
Cell914,group2
Cell915,group2
Cell916,group2
Cell917,group1
Cell918,group1
Cell919,group2
Cell920,group2
Cell921,group1
Cell922,group1
Cell923,group2
Cell924,group1
Cell925,group1
Cell926,group2
Cell927,group2
Cell928,group2
Cell929,group1
Cell930,group1
Cell931,group1
Cell932,group2
Cell933,group1
Cell934,group2
Cell935,group1
Cell936,group1
Cell937,group1
Cell938,group2
Cell939,group2
Cell940,group2
Cell941,group1
Cell942,group1
Cell943,group1
Cell944,group1
Cell945,group1
Cell946,group1
Cell947,group1
Cell948,group1
Cell949,group2
Cell950,group2
Cell951,group2
Cell952,group2
Cell953,group2
Cell954,group2
Cell955,group2
Cell956,group1
Cell957,group1
Cell958,group2
Cell959,group1
Cell960,group2
Cell961,group2
Cell962,group2
Cell963,group2
Cell964,group2
Cell965,group1
Cell966,group2
Cell967,group1
Cell968,group1
Cell969,group1
Cell970,group2
Cell971,group1
Cell972,group2
Cell973,group1
Cell974,group1
Cell975,group2
Cell976,group2
Cell977,group1
Cell978,group2
Cell979,group2
Cell980,group1
Cell981,group2
Cell982,group1
Cell983,group1
Cell984,group1
Cell985,group1
Cell986,group2
Cell987,group1
Cell988,group1
Cell989,group2
Cell990,group2
Cell991,group1
Cell992,group1
Cell993,group2
Cell994,group1
Cell995,group2
Cell996,group1
Cell997,group1
Cell998,group1
Cell999,group1
Cell1000,group2
Cell1001,group1
Cell1002,group2
Cell1003,group2
Cell1004,group1
Cell1005,group1
Cell1006,group2
Cell1007,group2
Cell1008,group2
Cell1009,group1
Cell1010,group1
Cell1011,group1
Cell1012,group1
Cell1013,group2
Cell1014,group1
Cell1015,group1
Cell1016,group2
Cell1017,group1
Cell1018,group1
Cell1019,group1
Cell1020,group2
Cell1021,group2
Cell1022,group1
Cell1023,group2
Cell1024,group2
Cell1025,group2
Cell1026,group2
Cell1027,group1
Cell1028,group1
Cell1029,group1
Cell1030,group1
Cell1031,group2
Cell1032,group1
Cell1033,group2
Cell1034,group2
Cell1035,group1
Cell1036,group2
Cell1037,group2
Cell1038,group2
Cell1039,group2
Cell1040,group2
Cell1041,group1
Cell1042,group1
Cell1043,group1
Cell1044,group2
Cell1045,group2
Cell1046,group2
Cell1047,group1
Cell1048,group1
Cell1049,group2
Cell1050,group1
Cell1051,group1
Cell1052,group1
Cell1053,group2
Cell1054,group1
Cell1055,group2
Cell1056,group1
Cell1057,group2
Cell1058,group1
Cell1059,group2
Cell1060,group2
Cell1061,group1
Cell1062,group2
Cell1063,group2
Cell1064,group2
Cell1065,group2
Cell1066,group2
Cell1067,group1
Cell1068,group2
Cell1069,group1
Cell1070,group2
Cell1071,group2
Cell1072,group1
Cell1073,group2
Cell1074,group1
Cell1075,group1
Cell1076,group2
Cell1077,group1
Cell1078,group1
Cell1079,group2
Cell1080,group2
Cell1081,group2
Cell1082,group2
Cell1083,group2
Cell1084,group1
Cell1085,group1
Cell1086,group2
Cell1087,group2
Cell1088,group1
Cell1089,group2
Cell1090,group2
Cell1091,group1
Cell1092,group1
Cell1093,group2
Cell1094,group2
Cell1095,group1
Cell1096,group2
Cell1097,group2
Cell1098,group2
Cell1099,group2
Cell1100,group1
Cell1101,group2
Cell1102,group1
Cell1103,group2
Cell1104,group1
Cell1105,group2
Cell1106,group1
Cell1107,group2
Cell1108,group2
Cell1109,group1
Cell1110,group2
Cell1111,group1
Cell1112,group2
Cell1113,group1
Cell1114,group1
Cell1115,group2
Cell1116,group1
Cell1117,group2
Cell1118,group2
Cell1119,group2
Cell1120,group2
Cell1121,group1
Cell1122,group1
Cell1123,group1
Cell1124,group2
Cell1125,group2
Cell1126,group2
Cell1127,group2
Cell1128,group1
Cell1129,group2
Cell1130,group2
Cell1131,group1
Cell1132,group1
Cell1133,group2
Cell1134,group2
Cell1135,group1
Cell1136,group1
Cell1137,group1
Cell1138,group1
Cell1139,group1
Cell1140,group2
Cell1141,group1
Cell1142,group1
Cell1143,group2
Cell1144,group2
Cell1145,group2
Cell1146,group1
Cell1147,group1
Cell1148,group1
Cell1149,group1
Cell1150,group1
