cell,cell_type
Cell400,group2
Cell401,group4
Cell402,group2
Cell403,group3
Cell404,group1
Cell405,group1
Cell406,group5
Cell407,group2
Cell408,group2
Cell409,group2
Cell410,group2
Cell411,group5
Cell412,group2
Cell413,group5
Cell414,group5
Cell415,group1
Cell416,group2
Cell417,group3
Cell418,group4
Cell419,group1
Cell420,group5
Cell421,group2
Cell422,group2
Cell423,group3
Cell424,group3
Cell425,group3
Cell426,group2
Cell427,group1
Cell428,group2
Cell429,group5
Cell430,group1
Cell431,group4
Cell432,group1
Cell433,group2
Cell434,group3
Cell435,group2
Cell436,group4
Cell437,group1
Cell438,group2
Cell439,group3
Cell440,group5
Cell441,group5
Cell442,group5
Cell443,group4
Cell444,group5
Cell445,group5
Cell446,group5
Cell447,group4
Cell448,group1
Cell449,group2
Cell450,group2
Cell451,group2
Cell452,group2
Cell453,group2
Cell454,group1
Cell455,group2
Cell456,group4
Cell457,group4
Cell458,group2
Cell459,group1
Cell460,group1
Cell461,group4
Cell462,group2
Cell463,group3
Cell464,group1
Cell465,group4
Cell466,group3
Cell467,group1
Cell468,group4
Cell469,group4
Cell470,group5
Cell471,group5
Cell472,group5
Cell473,group4
Cell474,group3
Cell475,group5
Cell476,group2
Cell477,group4
Cell478,group1
Cell479,group4
Cell480,group1
Cell481,group4
Cell482,group2
Cell483,group2
Cell484,group2
Cell485,group1
Cell486,group1
Cell487,group5
Cell488,group2
Cell489,group2
Cell490,group3
Cell491,group2
Cell492,group2
Cell493,group2
Cell494,group2
Cell495,group2
Cell496,group1
Cell497,group4
Cell498,group2
Cell499,group2
Cell500,group2
Cell501,group3
Cell502,group4
Cell503,group1
Cell504,group1
Cell505,group2
Cell506,group3
Cell507,group1
Cell508,group2
Cell509,group5
Cell510,group1
Cell511,group2
Cell512,group4
Cell513,group4
Cell514,group1
Cell515,group2
Cell516,group2
Cell517,group5
Cell518,group4
Cell519,group1
Cell520,group1
Cell521,group3
Cell522,group2
Cell523,group5
Cell524,group4
Cell525,group2
Cell526,group5
Cell527,group2
Cell528,group3
Cell529,group5
Cell530,group5
Cell531,group5
Cell532,group4
Cell533,group4
Cell534,group2
Cell535,group2
Cell536,group4
Cell537,group2
Cell538,group2
Cell539,group2
Cell540,group5
Cell541,group1
Cell542,group2
Cell543,group1
Cell544,group5
Cell545,group2
Cell546,group5
Cell547,group2
Cell548,group5
Cell549,group3
Cell550,group5
Cell551,group2
Cell552,group2
Cell553,group4
Cell554,group5
Cell555,group1
Cell556,group5
Cell557,group5
Cell558,group3
Cell559,group1
Cell560,group4
Cell561,group2
Cell562,group1
Cell563,group3
Cell564,group2
Cell565,group2
Cell566,group4
Cell567,group1
Cell568,group2
Cell569,group3
Cell570,group2
Cell571,group2
Cell572,group4
Cell573,group1
Cell574,group4
Cell575,group2
Cell576,group2
Cell577,group3
Cell578,group2
Cell579,group1
Cell580,group4
Cell581,group2
Cell582,group4
Cell583,group3
Cell584,group3
Cell585,group4
Cell586,group2
Cell587,group3
Cell588,group2
Cell589,group2
Cell590,group3
Cell591,group2
Cell592,group3
Cell593,group2
Cell594,group2
Cell595,group4
Cell596,group3
Cell597,group2
Cell598,group4
Cell599,group3
Cell600,group4
Cell601,group1
Cell602,group5
Cell603,group2
Cell604,group3
Cell605,group2
Cell606,group1
Cell607,group1
Cell608,group2
Cell609,group5
Cell610,group2
Cell611,group2
Cell612,group5
Cell613,group2
Cell614,group2
Cell615,group1
Cell616,group3
Cell617,group3
Cell618,group1
Cell619,group2
Cell620,group5
Cell621,group3
Cell622,group5
Cell623,group4
Cell624,group2
Cell625,group1
Cell626,group5
Cell627,group3
Cell628,group3
Cell629,group2
Cell630,group5
Cell631,group2
Cell632,group2
Cell633,group1
Cell634,group4
Cell635,group2
Cell636,group5
Cell637,group5
Cell638,group1
Cell639,group5
Cell640,group1
Cell641,group2
Cell642,group2
Cell643,group2
Cell644,group2
Cell645,group3
Cell646,group2
Cell647,group2
Cell648,group2
Cell649,group1
Cell650,group4
Cell651,group5
Cell652,group2
Cell653,group1
Cell654,group1
Cell655,group2
Cell656,group2
Cell657,group2
Cell658,group1
Cell659,group3
Cell660,group4
