cell,cell_type
Cell1,group1
Cell2,group2
Cell3,group4
Cell4,group4
Cell5,group4
Cell6,group1
Cell7,group1
Cell8,group1
Cell9,group1
Cell10,group1
Cell11,group4
Cell12,group1
Cell13,group4
Cell14,group4
Cell15,group1
Cell16,group1
Cell17,group2
Cell18,group2
Cell19,group4
Cell20,group2
Cell21,group2
Cell22,group4
Cell23,group4
Cell24,group2
Cell25,group2
Cell26,group4
Cell27,group2
Cell28,group4
Cell29,group4
Cell30,group2
Cell31,group1
Cell32,group2
Cell33,group1
Cell34,group2
Cell35,group1
Cell36,group2
Cell37,group4
Cell38,group4
Cell39,group4
Cell40,group1
Cell41,group1
Cell42,group1
Cell43,group1
Cell44,group2
Cell45,group2
Cell46,group2
Cell47,group1
Cell48,group1
Cell49,group1
Cell50,group1
Cell51,group1
Cell52,group1
Cell53,group1
Cell54,group4
Cell55,group4
Cell56,group1
Cell57,group1
Cell58,group1
Cell59,group2
Cell60,group2
Cell61,group1
Cell62,group2
Cell63,group1
Cell64,group2
Cell65,group4
Cell66,group1
Cell67,group1
Cell68,group1
Cell69,group4
Cell70,group1
Cell71,group2
Cell72,group2
Cell73,group2
Cell74,group1
Cell75,group4
Cell76,group1
Cell77,group4
Cell78,group1
Cell79,group2
Cell80,group4
Cell81,group4
Cell82,group2
Cell83,group4
Cell84,group2
Cell85,group1
Cell86,group1
Cell87,group1
Cell88,group1
Cell89,group1
Cell90,group1
Cell91,group1
Cell92,group4
Cell93,group1
Cell94,group2
Cell95,group1
Cell96,group4
Cell97,group4
Cell98,group2
Cell99,group1
Cell100,group1
Cell101,group4
Cell102,group4
Cell103,group2
Cell104,group1
Cell105,group1
Cell106,group2
Cell107,group1
Cell108,group2
Cell109,group1
Cell110,group2
Cell111,group4
Cell112,group2
Cell113,group1
Cell114,group4
Cell115,group1
Cell116,group1
Cell117,group1
Cell118,group1
Cell119,group4
Cell120,group4
Cell121,group1
Cell122,group4
Cell123,group4
Cell124,group4
Cell125,group1
Cell126,group4
Cell127,group1
Cell128,group2
Cell129,group4
Cell130,group1
Cell131,group2
Cell132,group1
Cell133,group2
Cell134,group4
Cell135,group2
Cell136,group2
Cell137,group1
Cell138,group1
Cell139,group2
Cell140,group4
Cell141,group4
Cell142,group4
Cell143,group2
Cell144,group2
Cell145,group1
Cell146,group1
Cell147,group1
Cell148,group4
Cell149,group1
Cell150,group1
Cell151,group2
Cell152,group4
Cell153,group2
Cell154,group2
Cell155,group4
Cell156,group1
Cell157,group1
Cell158,group1
Cell159,group4
Cell160,group4
Cell161,group1
Cell162,group2
Cell163,group4
Cell164,group1
Cell165,group2
Cell166,group1
Cell167,group2
Cell168,group1
Cell169,group4
Cell170,group1
Cell171,group1
Cell172,group1
