"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"5303","doublet_uncertain","Granule","Astrocytes",FALSE,FALSE,978.02054536653,1003.16477467212,TRUE,TRUE
"5304","singlet","Granule","Astrocytes",FALSE,FALSE,333.942340029752,344.049672669909,TRUE,TRUE
"5305","singlet","Oligodendrocytes","Astrocytes",FALSE,FALSE,814.776811443348,821.432019267382,TRUE,TRUE
"5306","doublet_uncertain","Purkinje","Astrocytes",FALSE,FALSE,279.093141272948,311.707065436955,TRUE,TRUE
"5307","singlet","Granule","Golgi",FALSE,FALSE,985.929025518212,993.462277433337,TRUE,TRUE
"5308","singlet","Granule","Astrocytes",FALSE,FALSE,593.16466883176,593.698609692299,TRUE,TRUE
"5309","singlet","Granule","Oligodendrocytes",FALSE,FALSE,374.304040968796,385.884618531305,TRUE,TRUE
"5310","doublet_certain","Purkinje","Bergmann",FALSE,TRUE,942.041856889779,1039.73464878831,TRUE,TRUE
"5311","singlet","Granule","Fibroblast",FALSE,FALSE,275.602856417071,281.29694751684,TRUE,TRUE
"5312","doublet_certain","Bergmann","Purkinje",FALSE,FALSE,903.836997697292,973.145232855295,TRUE,TRUE
"5313","singlet","Oligodendrocytes","Granule",FALSE,FALSE,363.925101313093,384.249296060451,TRUE,TRUE
"5314","doublet_certain","MLI1","Astrocytes",TRUE,TRUE,931.662885340468,1035.06225698481,TRUE,TRUE
"5315","doublet_certain","Golgi","Granule",FALSE,FALSE,1360.38648315354,1405.74544037818,TRUE,TRUE
"5316","singlet","Bergmann","Granule",TRUE,FALSE,335.794067565366,342.645417513753,TRUE,TRUE
"5317","doublet_uncertain","MLI1","Bergmann",TRUE,FALSE,509.681434662695,537.993899485846,TRUE,TRUE
"5318","singlet","Bergmann","Purkinje",TRUE,FALSE,204.251682831827,212.724433490447,TRUE,TRUE
"5319","doublet_certain","Oligodendrocytes","Granule",FALSE,FALSE,1340.17243089626,1481.20486328849,TRUE,TRUE
"5320","singlet","Purkinje","Endothelial",FALSE,FALSE,1270.16929704776,1284.76814030585,TRUE,TRUE
"5321","singlet","Granule","Astrocytes",FALSE,FALSE,913.863068242444,913.831874680942,TRUE,TRUE
"5322","singlet","Granule","Oligodendrocytes",FALSE,FALSE,586.399313113356,604.01224953918,TRUE,TRUE
"5323","singlet","Granule","Astrocytes",FALSE,FALSE,880.81500323746,882.451851311187,TRUE,TRUE
"5324","singlet","Granule","UBCs",FALSE,FALSE,597.058030781085,598.329247271885,TRUE,TRUE
"5325","doublet_certain","Bergmann","Purkinje",FALSE,FALSE,1107.48442601931,1226.62339689366,TRUE,TRUE
"5326","singlet","Endothelial","Oligodendrocytes",TRUE,FALSE,231.088295210421,238.784993838254,TRUE,TRUE
"5327","singlet","MLI1","Bergmann",FALSE,FALSE,846.088933683084,856.746574979152,TRUE,TRUE
"5328","singlet","Granule","Macrophages",FALSE,FALSE,542.168589662155,546.439214150199,TRUE,TRUE
"5329","singlet","MLI2","Purkinje",FALSE,FALSE,196.231989992377,198.816103814461,TRUE,TRUE
"5330","singlet","Granule","Candelabrum",FALSE,FALSE,805.448955778958,810.290477589136,TRUE,TRUE
"5331","singlet","Golgi","Oligodendrocytes",FALSE,FALSE,759.708527692748,769.095842679074,TRUE,TRUE
"5332","singlet","Granule","UBCs",FALSE,FALSE,639.301293715753,641.87887352147,TRUE,TRUE
"5333","doublet_certain","MLI2","Bergmann",TRUE,FALSE,533.047561243464,561.33424509649,TRUE,TRUE
"5334","singlet","Granule","Astrocytes",FALSE,FALSE,729.317144998234,730.947693825162,TRUE,TRUE
"5335","singlet","Granule","Astrocytes",FALSE,FALSE,279.398168426847,293.07104681112,TRUE,TRUE
"5336","singlet","Granule","Astrocytes",FALSE,FALSE,1430.34599026911,1433.00017326157,TRUE,TRUE
"5337","doublet_certain","Bergmann","MLI2",TRUE,TRUE,433.985163608059,465.472438701975,TRUE,TRUE
"5338","singlet","Oligodendrocytes","Microglia",FALSE,TRUE,366.018971618294,385.091594733981,TRUE,TRUE
"5339","singlet","Granule","Purkinje",FALSE,FALSE,507.997717966673,524.484400749025,TRUE,TRUE
"5340","singlet","Endothelial","Microglia",TRUE,FALSE,320.14442794309,325.868484514916,TRUE,TRUE
"5341","doublet_certain","Bergmann","Purkinje",FALSE,FALSE,1678.65558433848,1915.57899976218,TRUE,TRUE
"5342","singlet","Granule","Choroid",FALSE,FALSE,620.363086159933,624.791791269678,TRUE,TRUE
"5343","singlet","MLI1","MLI2",TRUE,TRUE,612.870130319481,614.703679904979,TRUE,TRUE
"5344","doublet_certain","Astrocytes","Granule",FALSE,FALSE,859.108373466931,907.259479976453,TRUE,TRUE
"5345","singlet","Oligodendrocytes","Microglia",FALSE,FALSE,184.842254170669,186.112072806677,TRUE,TRUE
"5346","singlet","Endothelial","Bergmann",FALSE,FALSE,269.149189709962,288.925769764897,TRUE,TRUE
"5347","singlet","Granule","Astrocytes",FALSE,FALSE,753.336250088664,762.027944967679,TRUE,TRUE
"5348","singlet","Granule","Choroid",FALSE,FALSE,255.552308334549,256.359127289449,TRUE,TRUE
"5349","singlet","Granule","Astrocytes",FALSE,FALSE,675.961138195483,688.714838290855,TRUE,TRUE
"5350","doublet_uncertain","Astrocytes","Granule",FALSE,FALSE,627.414107537979,666.826506694325,TRUE,TRUE
"5351","doublet_uncertain","Endothelial","Astrocytes",FALSE,FALSE,282.719074741891,312.858906157768,TRUE,TRUE
"5352","doublet_certain","Purkinje","Bergmann",FALSE,TRUE,837.64868684354,950.577810558867,TRUE,TRUE
"5353","singlet","Granule","Candelabrum",FALSE,FALSE,599.273842933213,600.261059562848,TRUE,TRUE
"5354","doublet_certain","Astrocytes","Granule",FALSE,FALSE,793.174625674474,820.427602303896,TRUE,TRUE
"5355","doublet_uncertain","Granule","Purkinje",FALSE,FALSE,1088.75472018183,1157.12333612712,TRUE,TRUE
"5356","singlet","Granule","Oligodendrocytes",FALSE,FALSE,493.258408329743,494.679914873044,TRUE,TRUE
"5357","singlet","Granule","Astrocytes",FALSE,FALSE,293.120176991687,303.987996782241,TRUE,TRUE
"5358","singlet","Bergmann","MLI2",FALSE,FALSE,704.410533390383,728.674747711695,TRUE,TRUE
"5359","singlet","Granule","Astrocytes",FALSE,FALSE,1210.33135131723,1223.14952613738,TRUE,TRUE
"5360","doublet_certain","Astrocytes","Purkinje",FALSE,FALSE,1358.94586650408,1491.30633541796,TRUE,TRUE
"5361","singlet","Granule","Microglia",FALSE,FALSE,980.203190723873,986.502880983115,TRUE,TRUE
"5362","singlet","Granule","Polydendrocytes",FALSE,FALSE,418.338024497572,423.595675364595,TRUE,TRUE
"5363","doublet_certain","Astrocytes","Purkinje",TRUE,FALSE,534.690657448845,576.505707551055,TRUE,TRUE
"5364","doublet_uncertain","Purkinje","Bergmann",FALSE,FALSE,707.648155871377,734.727696478771,TRUE,TRUE
"5365","singlet","Granule","Astrocytes",FALSE,FALSE,246.310310432297,258.123413373721,TRUE,TRUE
"5366","singlet","Granule","Bergmann",FALSE,FALSE,582.819080900062,590.29683662128,TRUE,TRUE
"5367","singlet","Granule","Oligodendrocytes",FALSE,FALSE,248.428941525208,249.841964787346,TRUE,TRUE
"5368","doublet_certain","Granule","Oligodendrocytes",FALSE,FALSE,993.800624768167,1052.30985672432,TRUE,TRUE
"5369","singlet","Granule","Endothelial",FALSE,FALSE,478.303318468083,500.116607765883,TRUE,TRUE
"5370","singlet","Granule","Astrocytes",FALSE,FALSE,925.526443322939,928.356331589189,TRUE,TRUE
"5371","doublet_certain","Granule","Astrocytes",FALSE,FALSE,1125.93297670881,1232.51978482543,TRUE,TRUE
"5372","doublet_certain","Purkinje","MLI2",FALSE,FALSE,1739.51000802417,1769.84995601332,TRUE,TRUE
"5373","singlet","Bergmann","Purkinje",FALSE,FALSE,147.18075623448,152.337298500865,TRUE,TRUE
"5374","singlet","Granule","Astrocytes",FALSE,FALSE,427.33245590448,427.25170988481,TRUE,TRUE
"5375","singlet","Granule","Oligodendrocytes",FALSE,FALSE,409.764533137632,410.287797120424,TRUE,TRUE
"5376","singlet","Bergmann","Ependymal",TRUE,FALSE,255.733232870359,262.060980180026,TRUE,TRUE
"5377","singlet","Granule","Oligodendrocytes",FALSE,FALSE,586.627256232886,602.982696541852,TRUE,TRUE
"5378","singlet","Granule","Macrophages",FALSE,FALSE,602.963014161449,604.277253637643,TRUE,TRUE
"5379","singlet","Purkinje","MLI2",FALSE,FALSE,440.567408367926,441.795863024997,TRUE,TRUE
"5380","doublet_certain","Astrocytes","Granule",FALSE,FALSE,427.777873082144,461.214651685596,TRUE,TRUE
"5381","doublet_uncertain","Granule","Fibroblast",FALSE,FALSE,437.643470237835,474.210085182633,TRUE,TRUE
"5382","singlet","Granule","Polydendrocytes",FALSE,FALSE,754.318967021568,759.089159048297,TRUE,TRUE
"5383","doublet_uncertain","Bergmann","Granule",TRUE,FALSE,830.383956408341,855.390269235785,TRUE,TRUE
"5384","singlet","Astrocytes","Granule",FALSE,FALSE,338.466789257762,356.196604214452,TRUE,TRUE
"5385","singlet","Oligodendrocytes","Purkinje",FALSE,FALSE,205.405197892159,207.017295090144,TRUE,TRUE
"5386","singlet","Granule","Oligodendrocytes",FALSE,FALSE,558.89184215511,564.439999678691,TRUE,TRUE
"5387","singlet","Bergmann","Purkinje",TRUE,FALSE,223.109056143328,227.324037207043,TRUE,TRUE
"5388","singlet","Granule","MLI2",FALSE,FALSE,224.521908661403,224.616046201265,TRUE,TRUE
"5389","singlet","Bergmann","Endothelial",FALSE,FALSE,226.767701765182,231.725920000146,TRUE,TRUE
"5390","singlet","Granule","Astrocytes",FALSE,FALSE,584.883417763499,609.677667610533,TRUE,TRUE
"5391","singlet","Granule","Astrocytes",FALSE,TRUE,836.744816129181,861.355527487762,TRUE,TRUE
"5392","doublet_uncertain","Purkinje","Fibroblast",FALSE,FALSE,506.089152202691,558.255257877998,TRUE,TRUE
