no_cells,no_celltypes,no_markers,k,frac_correct,concordex,mean_random_cdx,concordex_ratio
2000,8,13,20,0.4845,0.7468724081184509,0.20121763609771787,3.711764150512857
2000,8,15,20,1,0.9949057066411472,0.12490956840169774,7.965007960331921
2000,8,3,20,0.126,0.5241219267436026,0.5003382075358994,1.0475352848323036
2000,8,5,20,0.8075,0.8372073010155785,0.1418624300762695,5.901543492279603
2000,8,7,20,0.9995,0.993819852800368,0.124982793250465,7.951653399270386
2000,8,9,20,0.726,0.9042756662318596,0.16673000627541842,5.423592827904669
2000,8,1,30,0.2865,0.5509921450185471,0.24941525827540517,2.209135675292727
2000,8,11,30,0.7825,0.862352459227375,0.1424098260690344,6.055428077057984
2000,8,13,30,0.4845,0.7431306622861626,0.1990565428069173,3.733264186181468
2000,8,15,30,1,0.9907029337536134,0.12455334642429385,7.954045091480409
2000,8,3,30,0.126,0.5205672233770579,0.4999858233977652,1.041163967088961
2000,8,5,30,0.8075,0.831138919196607,0.14304929408351694,5.810157432244024
2000,8,7,30,0.9995,0.9898169136231584,0.12448014733334611,7.951604611878564
2000,8,9,30,0.726,0.8998353571063514,0.1660760240497035,5.418213509477125
2000,8,1,50,0.2865,0.5476879885123405,0.2495576651251607,2.194635008456496
2000,8,11,50,0.7825,0.8518608692159574,0.142417751435202,5.981423387403653
2000,8,13,50,0.4845,0.7360316845082686,0.1999020552013056,3.681961567463971
2000,8,15,50,1,0.9810948250443488,0.12445472366094316,7.883146546668518
2000,8,3,50,0.126,0.5133524478532004,0.5000239409361337,1.026655737507515
2000,8,5,50,0.8075,0.8202985151730171,0.14268843807608023,5.748878649408448
2000,8,7,50,0.9995,0.9804438502697844,0.12505185543041264,7.840298305812584
2000,8,9,50,0.726,0.8921189784427621,0.166443589757962,5.359887873964138
4000,2,1,20,0.5105,NA,NA,NA
4000,2,11,20,0.5105,NA,NA,NA
4000,2,13,20,1,0.9999632713026444,0.4993715178393672,2.002443542693804
4000,2,15,20,1,0.9999632713026444,0.4989613736324386,2.004089543090104
4000,2,3,20,0.9995,0.9992324429771908,0.5009506135787648,1.9946725603123368
4000,2,5,20,0.5105,NA,NA,NA
4000,2,7,20,1,0.9999632713026444,0.500700634813286,1.997128027759614
4000,2,9,20,1,0.9999632713026444,0.4991869531129895,2.0031839074854703
4000,2,1,30,0.5105,NA,NA,NA
4000,2,11,30,0.5105,NA,NA,NA
4000,2,13,30,1,0.9999180305181252,0.5004679635941672,1.9979661102323132
4000,2,15,30,1,0.9999180305181252,0.5003888036846471,1.9982821820855312
4000,2,3,30,0.9995,0.9991381552621048,0.5000884798363789,1.9979227587666228
4000,2,5,30,0.5105,NA,NA,NA
4000,2,7,30,1,0.9999180305181252,0.4998488928061719,2.000440622974165
4000,2,9,30,1,0.9999180305181252,0.4994536529498398,2.0020236604787573
4000,2,1,50,0.5105,NA,NA,NA
4000,2,11,50,0.5105,NA,NA,NA
4000,2,13,50,1,0.999792638553602,0.5001271990948009,1.999076715609878
4000,2,15,50,1,0.999792638553602,0.4999758346764257,1.999681923028636
4000,2,3,50,0.9995,0.9989099639855944,0.49948988928904897,1.9998602282168256
4000,2,5,50,0.5105,NA,NA,NA
4000,2,7,50,1,0.999792638553602,0.4994504809954523,2.001785315254718
4000,2,9,50,1,0.999792638553602,0.4995416005124927,2.0014201770741193
4000,4,1,20,0.248,NA,NA,NA
4000,4,11,20,0.248,NA,NA,NA
4000,4,13,20,0.9945,0.993035371884442,0.24966621412291076,3.977451956697554
4000,4,15,20,0.7265,0.9784631997981592,0.33254587929231594,2.942340473081208
4000,4,3,20,0.25,NA,NA,NA
4000,4,5,20,1,0.9997282785533474,0.2496112433610238,4.005141215163118
4000,4,7,20,0.2725,0.6222023868970339,0.4992931133970283,1.2461665707018683
4000,4,9,20,0.2485,0.4998999499749875,0.4997819743204936,1.0002360542407602
4000,4,1,30,0.248,NA,NA,NA
4000,4,11,30,0.248,NA,NA,NA
4000,4,13,30,0.9945,0.9926937185155464,0.25035928642226746,3.96507648148998
4000,4,15,30,0.7265,0.9782586897838352,0.33292692048527917,2.938358629449102
4000,4,3,30,0.25,NA,NA,NA
4000,4,5,30,1,0.9994961476042352,0.24995744403319023,3.998665258681069
4000,4,7,30,0.2725,0.6165157517449538,0.4995376750964487,1.2341726810213451
4000,4,9,30,0.2485,0.4999082874770719,0.4997782224445556,1.0002602454982534
4000,4,1,50,0.248,NA,NA,NA
4000,4,11,50,0.248,NA,NA,NA
4000,4,13,50,0.9945,0.9916392770144576,0.2498748225828221,3.968544196507731
4000,4,15,50,0.7265,0.9767039035613186,0.33307573342590857,2.9323778514731775
4000,4,3,50,0.25,NA,NA,NA
4000,4,5,50,1,0.9987711183429918,0.2495633319533061,4.002074786090227
4000,4,7,50,0.2725,0.6132786544159259,0.49946297036075327,1.2278761205719926
4000,4,9,50,0.2485,0.49989494747373686,0.4997383691845923,1.000313320526899
4000,6,1,20,0.18,NA,NA,NA
4000,6,11,20,0.157,NA,NA,NA
4000,6,13,20,0.82775,0.9822646472554872,0.2002967003446767,4.904048072510311
4000,6,15,20,0.99975,0.9986683413527512,0.16668735934018744,5.99126619622426
4000,6,3,20,0.18,NA,NA,NA
4000,6,5,20,0.24675,0.5375600763558552,0.3341119504683907,1.60892202629164
4000,6,7,20,0.18,NA,NA,NA
4000,6,9,20,0.18,NA,NA,NA
4000,6,1,30,0.18,NA,NA,NA
4000,6,11,30,0.157,NA,NA,NA
4000,6,13,30,0.82775,0.9811343043896894,0.20012001510221508,4.902729514029652
4000,6,15,30,0.99975,0.9977411822060696,0.16680941777781785,5.981324049311251
4000,6,3,30,0.18,NA,NA,NA
4000,6,5,30,0.24675,0.532267349588275,0.3331583443231714,1.5976407574890674
4000,6,7,30,0.18,NA,NA,NA
4000,6,9,30,0.18,NA,NA,NA
4000,6,1,50,0.18,NA,NA,NA
4000,6,11,50,0.157,NA,NA,NA
4000,6,13,50,0.82775,0.9797213095392322,0.19961321503993076,4.908098440993739
4000,6,15,50,0.99975,0.995390506942532,0.16651374911425362,5.9778277303668395
4000,6,3,50,0.18,NA,NA,NA
4000,6,5,50,0.24675,0.5243739325684552,0.33304828202991044,1.574468210352042
4000,6,7,50,0.18,NA,NA,NA
4000,6,9,50,0.18,NA,NA,NA
4000,8,1,20,0.12475,NA,NA,NA
4000,8,11,20,0.89475,0.9104900840528222,0.1245419415297022,7.310710535500027
4000,8,13,20,0.1235,NA,NA,NA
4000,8,15,20,0.726,0.9632409189058756,0.16630665937531258,5.791956392630564
4000,8,3,20,0.12475,NA,NA,NA
4000,8,5,20,0.12475,NA,NA,NA
4000,8,7,20,0.1235,NA,NA,NA
4000,8,9,20,0.1235,NA,NA,NA
4000,8,1,30,0.12475,NA,NA,NA
4000,8,11,30,0.89475,0.9067335916922432,0.12466598351012063,7.273303961209538
4000,8,13,30,0.1235,NA,NA,NA
4000,8,15,30,0.726,0.9603381653811228,0.1657075483686079,5.795379720692628
4000,8,3,30,0.12475,NA,NA,NA
4000,8,5,30,0.12475,NA,NA,NA
4000,8,7,30,0.1235,NA,NA,NA
4000,8,9,30,0.1235,NA,NA,NA
4000,8,1,50,0.12475,NA,NA,NA
4000,8,11,50,0.89475,0.9010207030580588,0.12455226183184472,7.234077404989298
4000,8,13,50,0.1235,NA,NA,NA
4000,8,15,50,0.726,0.9567510929961682,0.16663851831406337,5.741476236562431
4000,8,3,50,0.12475,NA,NA,NA
4000,8,5,50,0.12475,NA,NA,NA
4000,8,7,50,0.1235,NA,NA,NA
4000,8,9,50,0.1235,NA,NA,NA
8000,2,1,20,0.998,0.9965593940345464,0.5000593634509377,1.9928821793421363
8000,2,11,20,1,1,0.4996861983125063,2.001255995016686
8000,2,13,20,1,1,0.50001303187517665,1.999947873857896
8000,2,15,20,1,1,0.5004230167682683,1.998309363262305
8000,2,3,20,1,1,0.5001298487442466,1.9994807398735643
8000,2,5,20,1,1,0.49976390122241954,2.0009448412620556
8000,2,7,20,1,1,0.5000033033861875,1.9999867865425485
8000,2,9,20,1,1,0.4995493461228713,2.001804241685537
8000,2,1,30,0.998,0.9966175903916468,0.49989935076082354,1.9936364967764837
8000,2,11,30,1,1,0.4999930810004071,2.000027676381358
8000,2,13,30,1,1,0.5000807201804118,1.999677171395919
8000,2,15,30,1,1,0.4998589577433239,2.000564328214954
8000,2,3,30,1,1,0.4997750575120314,2.0009001749270503
8000,2,5,30,1,1,0.4999715128775394,2.0001139549823415
8000,2,7,30,1,1,0.5004070020675887,1.998373315857264
8000,2,9,30,1,1,0.5002996347941567,1.9988021786412855
8000,2,1,50,0.998,0.9966569699127292,0.49976501338512047,1.9942511844955864
8000,2,11,50,1,0.9999950199203188,0.4998577123900649,2.000559349457373
8000,2,13,50,1,0.9999950199203188,0.49976505757425455,2.0009302466524295
8000,2,15,50,1,0.9999950199203188,0.5000572449159186,1.9997610875300111
8000,2,3,50,1,0.9999950199203188,0.49997799698128503,2.000078055350404
8000,2,5,50,1,0.9999950199203188,0.5000804899545059,1.9996681334464612
8000,2,7,50,1,0.9999950199203188,0.4999343436161645,2.0002526985585263
8000,2,9,50,1,0.9999950199203188,0.4997858619071239,2.0008469549427743
8000,4,1,20,0.24525,NA,NA,NA
8000,4,11,20,0.740375,0.9963394540152872,0.3332417722217222,2.9898396211636196
8000,4,13,20,1,0.999981470539582,0.24972334972698207,4.004357108107204
8000,4,15,20,0.995,0.99329442374833,0.24988856301051857,3.974949520624997
8000,4,3,20,0.25675,NA,NA,NA
8000,4,5,20,0.24525,NA,NA,NA
8000,4,7,20,0.24575,NA,NA,NA
8000,4,9,20,0.24575,NA,NA,NA
8000,4,1,30,0.24525,NA,NA,NA
8000,4,11,30,0.740375,0.996041944294101,0.33313326607495253,2.989920388406959
8000,4,13,30,1,0.9999263827888732,0.2497319505096624,4.003998610302709
8000,4,15,30,0.995,0.9930855072985804,0.2499208128239332,3.9736006620553024
8000,4,3,30,0.25675,NA,NA,NA
8000,4,5,30,0.24525,NA,NA,NA
8000,4,7,30,0.24575,NA,NA,NA
8000,4,9,30,0.24575,NA,NA,NA
8000,4,1,50,0.24525,NA,NA,NA
8000,4,11,50,0.740375,0.9959139605089452,0.33321902704306916,2.9887667860581724
8000,4,13,50,1,0.999809717650936,0.2499451652943279,4.000116251392941
8000,4,15,50,0.995,0.9928707968001969,0.24994006473680264,3.972435543080023
8000,4,3,50,0.25675,NA,NA,NA
8000,4,5,50,0.24525,NA,NA,NA
8000,4,7,50,0.24575,NA,NA,NA
8000,4,9,50,0.24575,NA,NA,NA
8000,6,1,20,0.165375,NA,NA,NA
8000,6,11,20,0.165375,NA,NA,NA
8000,6,13,20,0.170875,NA,NA,NA
8000,6,15,20,0.170875,NA,NA,NA
8000,6,3,20,0.170875,NA,NA,NA
8000,6,5,20,0.170875,NA,NA,NA
8000,6,7,20,0.174125,NA,NA,NA
8000,6,9,20,0.832375,0.9954421479943256,0.20021740411673208,4.971806284202727
8000,6,1,30,0.165375,NA,NA,NA
8000,6,11,30,0.165375,NA,NA,NA
8000,6,13,30,0.170875,NA,NA,NA
8000,6,15,30,0.170875,NA,NA,NA
8000,6,3,30,0.170875,NA,NA,NA
8000,6,5,30,0.170875,NA,NA,NA
8000,6,7,30,0.174125,NA,NA,NA
8000,6,9,30,0.832375,0.9955349615251492,0.200390998842311,4.967962469754155
8000,6,1,50,0.165375,NA,NA,NA
8000,6,11,50,0.165375,NA,NA,NA
8000,6,13,50,0.170875,NA,NA,NA
8000,6,15,50,0.170875,NA,NA,NA
8000,6,3,50,0.170875,NA,NA,NA
8000,6,5,50,0.170875,NA,NA,NA
8000,6,7,50,0.174125,NA,NA,NA
8000,6,9,50,0.832375,0.9954548860554712,0.1998897248020715,4.9800202938953415
8000,8,1,20,0.121375,NA,NA,NA
8000,8,11,20,0.761125,0.8778456621784546,0.14303178441655306,6.1374166990876295
8000,8,13,20,0.856125,0.846413254092614,0.12491897297777103,6.77569814989778
8000,8,15,20,0.999625,0.9990101026027314,0.12474037815970156,8.008714718851719
8000,8,3,20,0.129625,NA,NA,NA
8000,8,5,20,0.121375,NA,NA,NA
8000,8,7,20,0.998625,0.9975207419685894,0.1246095372861631,8.005171704295833
8000,8,9,20,0.875375,0.9914076218990646,0.14282759208960205,6.941289196257757
8000,8,1,30,0.121375,NA,NA,NA
8000,8,11,30,0.761125,0.8753223809331977,0.14306761616980052,6.118242579049594
8000,8,13,30,0.856125,0.8455007342955607,0.12509308863303165,6.758972406348441
8000,8,15,30,0.999625,0.9985439816711446,0.12493700575807948,7.992379644543949
8000,8,3,30,0.129625,NA,NA,NA
8000,8,5,30,0.121375,NA,NA,NA
8000,8,7,30,0.998625,0.9970683368267976,0.1249640519181143,7.978841286933866
8000,8,9,30,0.875375,0.9909196814736252,0.14279964224178276,6.939230840619606
8000,8,1,50,0.121375,NA,NA,NA
8000,8,11,50,0.761125,0.8729173351588099,0.14254527201572811,6.123790167256436
8000,8,13,50,0.856125,0.8448261391607711,0.12479653980560486,6.769627911773466
8000,8,15,50,0.999625,0.9974332950375592,0.12484231030871086,7.989545311770503
8000,8,3,50,0.129625,NA,NA,NA
8000,8,5,50,0.121375,NA,NA,NA
8000,8,7,50,0.998625,0.9961756345467262,0.12511452771147058,7.962110018462678
8000,8,9,50,0.875375,0.9899184457488424,0.14250863799300093,6.946375038665801
