cell,cell_type
Cell1,group5
Cell2,group5
Cell3,group5
Cell4,group5
Cell5,group5
Cell6,group5
Cell7,group5
Cell8,group5
Cell9,group5
Cell10,group5
Cell11,group5
Cell12,group5
Cell13,group5
Cell14,group5
Cell15,group5
Cell16,group5
Cell17,group5
Cell18,group5
Cell19,group5
Cell20,group5
Cell21,group5
Cell22,group5
Cell23,group5
Cell24,group5
Cell25,group5
Cell26,group5
Cell27,group5
Cell28,group5
Cell29,group5
Cell30,group5
Cell31,group5
Cell32,group5
Cell33,group5
Cell34,group5
Cell35,group5
Cell36,group5
Cell37,group5
Cell38,group5
Cell39,group5
Cell40,group5
Cell41,group5
Cell42,group5
Cell43,group5
Cell44,group5
Cell45,group5
Cell46,group5
Cell47,group5
Cell48,group5
Cell49,group5
Cell50,group5
Cell51,group5
Cell52,group5
Cell53,group5
Cell54,group5
Cell55,group5
Cell56,group5
Cell57,group5
Cell58,group5
Cell59,group5
Cell60,group5
Cell61,group5
Cell62,group5
Cell63,group5
Cell64,group5
Cell65,group5
Cell66,group5
Cell67,group5
Cell68,group5
Cell69,group5
Cell70,group5
Cell71,group5
Cell72,group5
Cell73,group5
Cell74,group5
Cell75,group5
Cell76,group5
Cell77,group5
Cell78,group5
Cell79,group5
Cell80,group5
Cell81,group5
Cell82,group5
Cell83,group5
Cell84,group5
Cell85,group5
Cell86,group5
Cell87,group5
Cell88,group5
Cell89,group5
Cell90,group5
Cell91,group5
Cell92,group5
Cell93,group5
Cell94,group5
Cell95,group5
Cell96,group5
Cell97,group5
Cell98,group5
Cell99,group5
Cell100,group5
Cell101,group5
Cell102,group5
Cell103,group5
Cell104,group5
Cell105,group5
Cell106,group5
Cell107,group5
Cell108,group5
Cell109,group5
Cell110,group5
Cell111,group5
Cell112,group5
Cell113,group5
Cell114,group5
Cell115,group5
Cell116,group5
Cell117,group5
Cell118,group5
Cell119,group5
Cell120,group5
Cell121,group5
Cell122,group5
Cell123,group5
Cell124,group5
Cell125,group5
Cell126,group5
Cell127,group5
Cell128,group5
Cell129,group5
Cell130,group5
Cell131,group5
Cell132,group5
Cell133,group5
Cell134,group5
Cell135,group5
Cell136,group5
Cell137,group5
Cell138,group5
Cell139,group5
Cell140,group5
Cell141,group5
Cell142,group5
Cell143,group5
Cell144,group5
Cell145,group5
Cell146,group5
Cell147,group5
Cell148,group5
Cell149,group5
Cell150,group5
Cell151,group5
Cell152,group5
Cell153,group5
Cell154,group5
Cell155,group5
Cell156,group5
Cell157,group5
Cell158,group5
Cell159,group5
Cell160,group5
Cell161,group5
Cell162,group5
Cell163,group5
Cell164,group5
Cell165,group5
Cell166,group5
Cell167,group5
Cell168,group5
Cell169,group5
Cell170,group5
Cell171,group5
Cell172,group5
Cell173,group5
Cell174,group5
Cell175,group5
Cell176,group5
Cell177,group5
Cell178,group5
Cell179,group5
Cell180,group5
Cell181,group5
Cell182,group5
Cell183,group5
Cell184,group5
Cell185,group5
Cell186,group5
Cell187,group5
Cell188,group5
Cell189,group5
Cell190,group5
Cell191,group5
Cell192,group5
Cell193,group5
Cell194,group5
Cell195,group5
Cell196,group5
Cell197,group5
Cell198,group5
Cell199,group5
Cell200,group5
Cell201,group5
Cell202,group5
Cell203,group5
Cell204,group5
Cell205,group5
Cell206,group5
Cell207,group5
Cell208,group5
Cell209,group5
Cell210,group5
Cell211,group5
Cell212,group5
Cell213,group5
Cell214,group5
Cell215,group5
Cell216,group5
Cell217,group5
Cell218,group5
Cell219,group5
Cell220,group5
Cell221,group5
Cell222,group5
Cell223,group5
Cell224,group5
Cell225,group5
Cell226,group5
Cell227,group5
Cell228,group5
Cell229,group5
Cell230,group5
Cell231,group5
Cell232,group5
Cell233,group5
Cell234,group5
Cell235,group5
Cell236,group5
Cell237,group5
Cell238,group5
Cell239,group5
Cell240,group5
Cell241,group5
Cell242,group5
Cell243,group5
Cell244,group5
Cell245,group5
Cell246,group5
Cell247,group5
Cell248,group5
Cell249,group5
Cell250,group5
Cell251,group5
Cell252,group5
Cell253,group5
Cell254,group5
Cell255,group5
Cell256,group5
