cell,cell_type
Cell1,group4
Cell2,group5
Cell3,group2
Cell4,group5
Cell5,group5
Cell6,group1
Cell7,group5
Cell8,group2
Cell9,group2
Cell10,group1
Cell11,group5
Cell12,group4
Cell13,group2
Cell14,group2
Cell15,group1
Cell16,group1
Cell17,group5
Cell18,group6
Cell19,group5
Cell20,group4
Cell21,group1
Cell22,group5
Cell23,group2
Cell24,group4
Cell25,group1
Cell26,group2
Cell27,group1
Cell28,group5
Cell29,group5
Cell30,group1
Cell31,group1
Cell32,group1
Cell33,group4
Cell34,group6
Cell35,group1
Cell36,group1
Cell37,group2
Cell38,group5
Cell39,group2
Cell40,group1
Cell41,group4
Cell42,group4
Cell43,group1
Cell44,group1
Cell45,group1
Cell46,group4
Cell47,group4
Cell48,group4
Cell49,group1
Cell50,group4
Cell51,group4
Cell52,group1
Cell53,group4
Cell54,group2
Cell55,group5
Cell56,group1
Cell57,group4
Cell58,group1
Cell59,group5
Cell60,group6
Cell61,group4
Cell62,group5
Cell63,group1
Cell64,group1
Cell65,group2
Cell66,group1
Cell67,group1
Cell68,group1
Cell69,group2
Cell70,group4
Cell71,group6
Cell72,group5
Cell73,group6
Cell74,group1
Cell75,group5
Cell76,group1
Cell77,group5
Cell78,group2
Cell79,group6
Cell80,group2
Cell81,group5
Cell82,group1
Cell83,group5
Cell84,group5
Cell85,group4
Cell86,group4
Cell87,group5
Cell88,group1
Cell89,group4
Cell90,group1
Cell91,group1
Cell92,group2
Cell93,group1
Cell94,group4
Cell95,group4
Cell96,group5
Cell97,group5
Cell98,group4
Cell99,group4
Cell100,group4
Cell101,group2
Cell102,group5
Cell103,group6
Cell104,group5
Cell105,group2
Cell106,group5
Cell107,group1
Cell108,group1
Cell109,group4
Cell110,group1
Cell111,group5
Cell112,group5
Cell113,group1
Cell114,group5
Cell115,group1
Cell116,group1
Cell117,group1
Cell118,group1
Cell119,group2
Cell120,group5
Cell121,group1
Cell122,group5
Cell123,group5
Cell124,group2
Cell125,group1
Cell126,group2
Cell127,group1
Cell128,group6
Cell129,group2
Cell130,group4
Cell131,group6
Cell132,group1
Cell133,group6
Cell134,group5
Cell135,group1
Cell136,group5
Cell137,group1
Cell138,group4
Cell139,group5
Cell140,group2
Cell141,group5
Cell142,group2
Cell143,group1
Cell144,group6
Cell145,group4
Cell146,group1
Cell147,group4
Cell148,group2
Cell149,group4
Cell150,group1
Cell151,group4
Cell152,group5
Cell153,group1
Cell154,group1
Cell155,group5
Cell156,group1
Cell157,group4
Cell158,group4
Cell159,group4
Cell160,group5
Cell161,group1
Cell162,group6
Cell163,group5
Cell164,group1
Cell165,group1
Cell166,group1
Cell167,group6
Cell168,group1
Cell169,group5
Cell170,group4
Cell171,group1
Cell172,group1
Cell173,group1
Cell174,group2
Cell175,group2
Cell176,group4
Cell177,group5
Cell178,group5
Cell179,group5
Cell180,group1
Cell181,group4
Cell182,group4
Cell183,group6
Cell184,group1
Cell185,group5
Cell186,group5
Cell187,group2
Cell188,group1
Cell189,group4
Cell190,group2
Cell191,group5
Cell192,group4
Cell193,group2
Cell194,group1
Cell195,group1
Cell196,group4
Cell197,group1
Cell198,group4
Cell199,group1
Cell200,group2
Cell201,group5
Cell202,group4
Cell203,group1
Cell204,group1
Cell205,group2
Cell206,group1
Cell207,group5
Cell208,group4
Cell209,group5
Cell210,group6
Cell211,group5
Cell212,group1
Cell213,group1
Cell214,group1
Cell215,group1
Cell216,group6
Cell217,group5
Cell218,group2
Cell219,group1
Cell220,group5
Cell221,group1
Cell222,group5
Cell223,group2
Cell224,group4
Cell225,group5
Cell226,group6
Cell227,group1
Cell228,group1
Cell229,group6
Cell230,group5
Cell231,group5
Cell232,group1
Cell233,group1
Cell234,group5
Cell235,group1
Cell236,group1
Cell237,group1
Cell238,group5
Cell239,group5
Cell240,group1
Cell241,group1
Cell242,group1
Cell243,group5
Cell244,group4
Cell245,group1
Cell246,group5
Cell247,group1
Cell248,group4
Cell249,group5
Cell250,group2
Cell251,group2
Cell252,group2
Cell253,group4
Cell254,group2
Cell255,group1
Cell256,group4
Cell257,group4
Cell258,group4
Cell259,group5
Cell260,group1
Cell261,group6
Cell262,group2
Cell263,group4
Cell264,group5
Cell265,group5
Cell266,group4
Cell267,group1
Cell268,group2
Cell269,group2
Cell270,group1
Cell271,group6
Cell272,group4
Cell273,group5
Cell274,group2
Cell275,group1
Cell276,group5
Cell277,group1
Cell278,group4
Cell279,group5
Cell280,group5
Cell281,group2
Cell282,group2
Cell283,group4
Cell284,group2
Cell285,group5
Cell286,group4
Cell287,group5
Cell288,group1
Cell289,group5
Cell290,group4
Cell291,group5
Cell292,group4
Cell293,group2
Cell294,group2
Cell295,group1
Cell296,group2
Cell297,group6
Cell298,group1
Cell299,group5
Cell300,group4
Cell301,group4
Cell302,group5
Cell303,group5
Cell304,group1
Cell305,group4
Cell306,group1
Cell307,group5
Cell308,group6
Cell309,group5
Cell310,group2
Cell311,group5
Cell312,group1
Cell313,group6
Cell314,group5
Cell315,group5
Cell316,group1
Cell317,group1
Cell318,group6
Cell319,group4
Cell320,group4
Cell321,group4
Cell322,group5
Cell323,group1
Cell324,group2
Cell325,group1
Cell326,group1
Cell327,group4
Cell328,group1
Cell329,group5
Cell330,group1
Cell331,group4
Cell332,group5
Cell333,group5
Cell334,group5
Cell335,group5
Cell336,group4
Cell337,group2
Cell338,group4
Cell339,group4
Cell340,group2
Cell341,group1
Cell342,group5
Cell343,group1
Cell344,group2
Cell345,group4
Cell346,group1
Cell347,group1
Cell348,group4
Cell349,group1
Cell350,group5
Cell351,group1
Cell352,group5
Cell353,group2
Cell354,group4
Cell355,group2
Cell356,group2
Cell357,group2
Cell358,group2
Cell359,group2
Cell360,group1
Cell361,group4
Cell362,group4
Cell363,group1
Cell364,group2
Cell365,group1
Cell366,group5
Cell367,group1
Cell368,group2
Cell369,group1
Cell370,group2
Cell371,group1
Cell372,group5
Cell373,group4
Cell374,group4
Cell375,group2
Cell376,group5
Cell377,group2
Cell378,group5
Cell379,group1
Cell380,group5
Cell381,group5
Cell382,group1
Cell383,group1
Cell384,group2
Cell385,group6
Cell386,group4
Cell387,group2
Cell388,group1
Cell389,group4
Cell390,group4
Cell391,group4
Cell392,group1
Cell393,group1
Cell394,group4
Cell395,group5
Cell396,group4
Cell397,group5
Cell398,group1
Cell399,group6
Cell400,group2
Cell401,group4
Cell402,group5
Cell403,group5
Cell404,group1
Cell405,group1
Cell406,group5
Cell407,group2
Cell408,group4
Cell409,group1
Cell410,group2
Cell411,group5
Cell412,group2
Cell413,group5
Cell414,group5
Cell415,group1
Cell416,group6
Cell417,group4
Cell418,group4
Cell419,group1
Cell420,group5
Cell421,group5
Cell422,group1
Cell423,group4
Cell424,group5
Cell425,group1
Cell426,group6
Cell427,group1
Cell428,group2
Cell429,group5
Cell430,group1
Cell431,group4
Cell432,group1
Cell433,group4
Cell434,group5
Cell435,group2
Cell436,group4
Cell437,group1
Cell438,group2
Cell439,group5
Cell440,group5
Cell441,group5
Cell442,group5
Cell443,group4
Cell444,group5
Cell445,group5
Cell446,group5
Cell447,group4
Cell448,group1
Cell449,group1
Cell450,group1
Cell451,group2
Cell452,group4
Cell453,group6
Cell454,group1
Cell455,group6
Cell456,group4
Cell457,group4
Cell458,group2
Cell459,group1
Cell460,group1
Cell461,group4
Cell462,group2
Cell463,group1
Cell464,group1
Cell465,group4
Cell466,group5
Cell467,group1
Cell468,group4
Cell469,group4
Cell470,group5
Cell471,group5
